umkm_name,umkm_category,total_seller_gain,total_project_value,total_revenue
Angkasa Putera Abadi,Kecil,11025000,32523000,62390
cv irtha advertising,Kecil,0,3800000,0
Erecta Prabot,Kecil,5607625,29150000,31173
KOPERASI PRIMKOKAR PERHUTANI PEKALONGAN TIMUR,Kecil,0,1322290,0
PUTRA RAJA,Kecil,0,109344301,0
CV CITA PERDANA,Kecil,49367800,371517312,330385
BAYU PUTRO SOLO,Kecil,0,726567568,0
A.TAKRIB GRUP,Kecil,10743700,16350000,69550
BRILIAN FLORIST,Kecil,0,1500000,0
Koperasi Simpan Pinjam Guyub BRI,Kecil,0,96070,0
CV MANDIRI PRATAMA,Kecil,6678140,264768867,37161
KOPEGTEL RANTAUPRAPAT,Kecil,17940750,90224496,113342
PT. GUMANA SAKTI PERSADA,Kecil,9810420,67249669,63800
CV. A THREE SEJAHTERA,Kecil,54058650,627086946,310398
ADHA PUTRA PERWIRA,Kecil,0,56853534,0
PT. CITRA GRAHA PAPUA,Kecil,0,35742000,0
CV. MAKOLANO,Kecil,414529604,2673878777,2779137
CV. SINAR PAGI,Kecil,0,35690107,0
LIMA PERMATA ABADI,Kecil,0,234525240,0
ALFARA BUANA TEKNIK,Kecil,0,133265490,0
Astro teknik,Kecil,0,121578000,0
CV Mega Raya Interior,Kecil,22015800,25000000,146522
KOPERASI KARYAWAN BRINGIN MAJU KANWIL BANJARMASIN,Kecil,0,35846000,0
SERETAMA ABDI PERSADA,Kecil,0,34652812,0
TEKNIK MANDIRI,Kecil,9932430,9999999,56320
Irfan Anugerah,Kecil,0,1034000,0
 PT BHAKTI RATUTAMA JAYA,Kecil,0,9104320,0
PT .CENTRAL PATEN INSTALASINDO,Kecil,149940,233291919,-3453
PEMBANGUNAN PULAU WEH,Kecil,0,205179459,0
KOPERASI SWADHARMA PROBOLINGGO,Kecil,1116560,23796000,5329
CV MEDIA TEHNIK COMPUTINDO,Kecil,0,6016000,0
PT.TRANS UTAMA RAYA,Kecil,0,22579000,0
Masakan Rumahan Nomi,Kecil,0,8510000,0
PT. NABILA CAHAYA ABADI,Kecil,0,26362500,0
PT. RAUDAH BERKAH MULIA,Kecil,0,20146500,0
KOPERASI JASA KAWASAN INDUSTRI MEDAN,Kecil,0,35106525,0
CV. RINDU ORDER,Kecil,0,223353978,0
CV. AZRIAL PRATAMA,Kecil,0,166735109,0
PT. PRIMATECH ENGINEERING,Kecil,0,166488000,0
SENTOSA,Kecil,41639300,46568940,278407
CV KURNIA RAYA,Kecil,0,145290786,0
CV.BINTANG MAKMUR SEJAHTERA,Kecil,0,234228660,0
RUANG KARYA KHATULISTIWA,Kecil,0,98168400,0
Restu Bumi,Kecil,0,38988750,0
CV. BUKIT SUBUR,Kecil,0,282684215,0
Koperasi Primer Karyawan Perkebunan Montaya PTPN VIII Montaya,Kecil,35900300,164445465,201003
CV KAIROS KERTA KARYA ,Kecil,0,16186020,0
CV SHM Elektronik,Kecil,0,8391600,0
Mulya Jaya Tronic,Kecil,39110000,77145000,265365
Rifka Anisa Oktaviani Bakul Creative,Kecil,0,86399000,0
DIDIK PURWANTO,Kecil,0,110702000,0
PT. INTER SUPER NOVA,Kecil,0,3410919,0
PT. RAHMAT INDAH JAYA,Kecil,0,60442,0
CV. AZ,Kecil,51121000,864364010,316930
CV. CITRA ANZALI,Kecil,589561,153960137,1934
UD. ARDO,Kecil,14709660,138380131,82519
CV.LENTERA ABADI,Kecil,52714009,243225867,289623
Kopegtel Lampung,Kecil,92915100,758067375,563340
CLEAZKA,Kecil,11730000,138940000,76285
CV. SIGER TALA UTAMA,Kecil,0,19841250,0
CV.Pusat Alam Jaya,Kecil,4367000,153530000,25555
CV AMIN ELEKTRONIK,Kecil,0,13769550,0
CV. Shinta Utama,Kecil,0,23530967,0
PT.CITRA ELECTRONIC BANGKA,Kecil,0,168431400,0
ANUGRAH ELECTRIK,Kecil,0,7056000,0
CV.DUTA BINTANG UTAMA,Kecil,16967480,19413900,91283
SENYUM MART,Kecil,12310970,52892000,77891
CIPTA ANUGRAH SEJAHTERA,Kecil,59909800,108107402,361084
PT Anugerah Mulia Karya,Kecil,88283400,209500845,592109
AMANAH,Kecil,634110976,1274594594,2832158
PT. OCEN SEJAHTERA TECHNINDO,Kecil,3456340,10059930,19291
Koperasi Pekerja BRI Tanadoang,Kecil,0,5221500,0
